,Prediction,Confidence,Explanation,Features_Distribution
2656,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'health_priority', 'children_3', 'health_recommended', 'children_more', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'parents_usual' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'health_priority', 'children_3', 'health_recommended', 'children_more', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_proper', 'form_incomplete', 'children_2'] with values [0 0 0 1 0 0 0 0 1 0 0 0 0 0 1] there seems to be an intersection of the target values {'priority', 'very_recom'}."
4626,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (1x value 'not_recom', 1x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_more', 'children_3', 'health_priority', 'form_completed', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'housing_critical' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_more', 'children_3', 'health_priority', 'form_completed', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] with values [0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1] there seems to be an intersection of the target values {'priority', 'not_recom', 'very_recom'}."
5589,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have homogeneous target values (1x value 'not_recom', 4x value 'very_recom'). But on the other hand the nearest neighbour has another target value ('not_recom') as the prediction.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_3', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'health_recommended' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have homogeneous target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_3', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] with values [0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0] there seems to be a clustering of the target value 'very_recom'."
4974,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_3', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'housing_less_conv', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'parents_pretentious' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_3', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'housing_less_conv', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] with values [1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0] there seems to be an intersection of the target values {'priority', 'very_recom'}."
5411,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'not_recom', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'health_recommended' differs remarkably ('0' vs. '1') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] with values [0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0] there seems to be an intersection of the target values {'not_recom', 'very_recom'}."
1807,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'finance_inconv', 'parents_pretentious', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'form_completed' differs remarkably ('0' vs. '1') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'finance_inconv', 'parents_pretentious', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] with values [0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1] there seems to be an intersection of the target values {'priority', 'very_recom'}."
5429,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'not_recom', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_more', 'housing_critical', 'form_completed', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'health_recommended' differs remarkably ('0' vs. '1') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_more', 'housing_critical', 'form_completed', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] with values [0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0] there seems to be an intersection of the target values {'not_recom', 'very_recom'}."
4797,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'health_recommended', 'social_slightly_prob', 'form_completed', 'finance_inconv', 'housing_less_conv', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'social_problematic' differs remarkably ('0' vs. '1') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'health_recommended', 'social_slightly_prob', 'form_completed', 'finance_inconv', 'housing_less_conv', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] with values [0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0] there seems to be an intersection of the target values {'priority', 'very_recom'}."
4410,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have homogeneous target values (1x value 'not_recom', 4x value 'very_recom'). But on the other hand the nearest neighbour has another target value ('not_recom') as the prediction.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'social_slightly_prob', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'housing_critical' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have homogeneous target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'children_3', 'children_more', 'health_priority', 'social_slightly_prob', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] with values [0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1] there seems to be a clustering of the target value 'very_recom'."
1816,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'health_priority', 'children_more', 'children_3', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'form_completed', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'social_problematic' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'health_priority', 'children_more', 'children_3', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'form_completed', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] with values [0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1] there seems to be an intersection of the target values {'priority', 'very_recom'}."
4707,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (1x value 'not_recom', 1x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'health_priority', 'has_nurs_improper', 'children_3', 'social_slightly_prob', 'housing_critical', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'children_more' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'health_priority', 'has_nurs_improper', 'children_3', 'social_slightly_prob', 'housing_critical', 'has_nurs_less_proper', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] with values [0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0] there seems to be an intersection of the target values {'priority', 'not_recom', 'very_recom'}."
1189,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). And on the other hand the nearest neighbour has another target value ('priority') as the prediction.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'has_nurs_improper', 'health_recommended', 'health_priority', 'children_more', 'social_slightly_prob', 'housing_critical', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'children_3' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'has_nurs_improper', 'health_recommended', 'health_priority', 'children_more', 'social_slightly_prob', 'housing_critical', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'form_incomplete', 'children_2'] with values [0 0 1 0 0 0 0 0 0 0 0 0 1 0 0] there seems to be an intersection of the target values {'priority', 'very_recom'}."
1459,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). And on the other hand the nearest neighbour has another target value ('priority') as the prediction.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_3', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'form_incomplete' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'parents_usual', 'has_nurs_improper', 'health_priority', 'children_3', 'health_recommended', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'has_nurs_proper', 'has_nurs_very_crit', 'has_nurs_less_proper', 'children_2'] with values [0 1 0 0 0 1 0 0 0 0 0 0 0 1 0] there seems to be an intersection of the target values {'priority', 'very_recom'}."
1210,very_recom,False,"The prediction 'very_recom' is rather unsure: On the one hand the 5 nearest neighbours have diverse target values (2x value 'priority', 3x value 'very_recom'). But on the other hand the nearest neighbour has the same target value too.","The features given for predicting the target value are rather far from any other observations already known. The features ['form_foster', 'has_nurs_improper', 'health_recommended', 'health_priority', 'children_more', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] have the exact same values in the range of the 5 nearest neighbours. However, the feature 'children_3' differs remarkably ('1' vs. '0') throughout the inspected  5 nearest neighbours. Since the nearest neighbours have diverse target values, around the features ['form_foster', 'has_nurs_improper', 'health_recommended', 'health_priority', 'children_more', 'social_slightly_prob', 'housing_critical', 'form_completed', 'finance_inconv', 'parents_pretentious', 'housing_less_conv', 'social_problematic', 'has_nurs_very_crit', 'has_nurs_proper', 'form_incomplete', 'children_2'] with values [0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0] there seems to be an intersection of the target values {'priority', 'very_recom'}."
